scenario,scenario_size,method,mode_profile,mode_safe,mode_normal,mode_aggressive,mode_reserve,mode_critical,mode_safe_share,mode_normal_share,mode_aggressive_share,mode_reserve_share,mode_critical_share
stable_warehouse_load,Warehouse-M,fixed_heuristic,default,0.0,5.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
stable_warehouse_load,Warehouse-M,fixed_auction,default,0.0,5.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
stable_warehouse_load,Warehouse-M,qmix_heuristic,default,0.0,3.685,0.725,0.03,0.56,0.0,0.737,0.145,0.006,0.11200000000000002
stable_warehouse_load,Warehouse-M,ample_amr,default,0.0,3.51,0.9975,0.015,0.4775,0.0,0.702,0.1995,0.003,0.0955
stable_warehouse_load,Warehouse-M,c_ample_amr,default,0.0,3.3725,0.9975,0.0075,0.6225,0.0,0.6745,0.1995,0.0015,0.12450000000000001
stable_warehouse_load,Warehouse-M,random_modes_heuristic,default,0.9675,1.0625,1.035,1.015,0.92,0.1935,0.2125,0.207,0.20299999999999999,0.184
peak_warehouse_load,Warehouse-M,fixed_heuristic,default,0.0,5.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
peak_warehouse_load,Warehouse-M,fixed_auction,default,0.0,5.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
peak_warehouse_load,Warehouse-M,qmix_heuristic,default,0.0,3.5244444444444443,0.9911111111111112,0.057777777777777775,0.4266666666666667,0.0,0.7048888888888889,0.19822222222222224,0.011555555555555555,0.08533333333333334
peak_warehouse_load,Warehouse-M,ample_amr,default,0.0,2.9844444444444442,1.5044444444444445,0.008888888888888889,0.5022222222222222,0.0,0.5968888888888888,0.3008888888888889,0.0017777777777777779,0.10044444444444445
peak_warehouse_load,Warehouse-M,c_ample_amr,default,0.0,3.037777777777778,1.4333333333333333,0.008888888888888889,0.52,0.0,0.6075555555555556,0.2866666666666667,0.0017777777777777779,0.10400000000000001
peak_warehouse_load,Warehouse-M,random_modes_heuristic,default,0.9666666666666667,1.06,1.0444444444444445,1.0222222222222221,0.9066666666666666,0.19333333333333333,0.21200000000000002,0.2088888888888889,0.20444444444444443,0.18133333333333332
heterogeneous_edge_nodes,Warehouse-M+,fixed_heuristic,default,0.0,13.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
heterogeneous_edge_nodes,Warehouse-M+,fixed_auction,default,0.0,13.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
heterogeneous_edge_nodes,Warehouse-M+,qmix_heuristic,default,0.1475,0.0075,0.0,12.845,0.0,0.011346153846153846,0.0005769230769230769,0.0,0.9880769230769231,0.0
heterogeneous_edge_nodes,Warehouse-M+,ample_amr,default,0.2275,0.0075,0.0,12.76,0.005,0.0175,0.0005769230769230769,0.0,0.9815384615384615,0.0003846153846153846
heterogeneous_edge_nodes,Warehouse-M+,c_ample_amr,default,0.2375,0.01,0.0,12.7475,0.005,0.018269230769230767,0.0007692307692307691,0.0,0.980576923076923,0.00038461538461538456
heterogeneous_edge_nodes,Warehouse-M+,random_modes_heuristic,default,2.5475,2.7275,2.55,2.5675,2.6075,0.19596153846153846,0.2098076923076923,0.19615384615384615,0.19749999999999998,0.20057692307692307
network_degradation,Warehouse-M,fixed_heuristic,default,0.0,5.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
network_degradation,Warehouse-M,fixed_auction,default,0.0,5.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
network_degradation,Warehouse-M,qmix_heuristic,default,0.0,2.2125,0.415,1.065,1.3075,0.0,0.4425,0.08299999999999999,0.213,0.2615
network_degradation,Warehouse-M,ample_amr,default,0.0,2.11,0.515,1.015,1.36,0.0,0.422,0.10300000000000001,0.20299999999999999,0.272
network_degradation,Warehouse-M,c_ample_amr,default,0.0,2.08,0.535,1.04,1.345,0.0,0.41600000000000004,0.10700000000000001,0.20800000000000002,0.269
network_degradation,Warehouse-M,random_modes_heuristic,default,0.9675,1.0625,1.035,1.015,0.92,0.1935,0.2125,0.207,0.20299999999999999,0.184
edge_node_failures,Warehouse-M,fixed_heuristic,default,0.0,5.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
edge_node_failures,Warehouse-M,fixed_auction,default,0.0,5.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
edge_node_failures,Warehouse-M,qmix_heuristic,default,0.345,3.3575,0.7375,0.0275,0.5325,0.069,0.6715000000000001,0.14750000000000005,0.005500000000000001,0.10650000000000001
edge_node_failures,Warehouse-M,ample_amr,default,0.3475,3.375,0.87,0.0125,0.395,0.06949999999999999,0.675,0.174,0.0025,0.079
edge_node_failures,Warehouse-M,c_ample_amr,default,0.3475,3.335,0.8725,0.0075,0.4375,0.06949999999999999,0.667,0.17450000000000002,0.0015,0.0875
edge_node_failures,Warehouse-M,random_modes_heuristic,default,0.9675,1.0625,1.035,1.015,0.92,0.1935,0.2125,0.207,0.20299999999999999,0.184
scalability_sweep,Warehouse-L,fixed_heuristic,default,0.0,10.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
scalability_sweep,Warehouse-L,fixed_auction,default,0.0,10.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
scalability_sweep,Warehouse-L,qmix_heuristic,default,0.0,0.0,0.16333333333333333,0.0,9.836666666666666,0.0,0.0,0.01633333333333333,0.0,0.9836666666666666
scalability_sweep,Warehouse-L,ample_amr,default,0.0,0.0,0.0,0.0033333333333333335,9.996666666666666,0.0,0.0,0.0,0.0003333333333333334,0.9996666666666666
