scenario,scenario_size,method,mode_profile,task_class,assigned_task_count,total_task_payment,mean_task_payment,total_task_externality,mean_task_externality
stable_warehouse_load,Warehouse-M,fixed_heuristic,default,inventory_recognition,54,0.0,0.0,0.0,0.0
stable_warehouse_load,Warehouse-M,fixed_heuristic,default,localization_slam,139,0.0,0.0,0.0,0.0
stable_warehouse_load,Warehouse-M,fixed_heuristic,default,obstacle_detection,97,0.0,0.0,0.0,0.0
stable_warehouse_load,Warehouse-M,fixed_heuristic,default,path_replanning,117,0.0,0.0,0.0,0.0
stable_warehouse_load,Warehouse-M,fixed_heuristic,default,perception,58,0.0,0.0,0.0,0.0
stable_warehouse_load,Warehouse-M,fixed_heuristic,default,telemetry_diagnostics,118,0.0,0.0,0.0,0.0
stable_warehouse_load,Warehouse-M,fixed_vcg,default,inventory_recognition,54,2.7977620220553945e-14,5.181040781584064e-16,2.7977620220553945e-14,5.181040781584064e-16
stable_warehouse_load,Warehouse-M,fixed_vcg,default,localization_slam,139,3.3639757646142243e-14,2.4201264493627515e-16,3.3639757646142243e-14,2.4201264493627515e-16
stable_warehouse_load,Warehouse-M,fixed_vcg,default,obstacle_detection,97,3.064215547965432e-14,3.158985100995291e-16,3.064215547965432e-14,3.158985100995291e-16
stable_warehouse_load,Warehouse-M,fixed_vcg,default,path_replanning,117,5.595524044110789e-14,4.782499183000674e-16,5.595524044110789e-14,4.782499183000674e-16
stable_warehouse_load,Warehouse-M,fixed_vcg,default,perception,58,1.554312234475219e-14,2.679848680129688e-16,1.554312234475219e-14,2.679848680129688e-16
stable_warehouse_load,Warehouse-M,fixed_vcg,default,telemetry_diagnostics,118,3.164135620181696e-14,2.681470864560759e-16,3.164135620181696e-14,2.681470864560759e-16
stable_warehouse_load,Warehouse-M,qmix_heuristic,default,inventory_recognition,53,0.0,0.0,0.0,0.0
stable_warehouse_load,Warehouse-M,qmix_heuristic,default,localization_slam,140,0.0,0.0,0.0,0.0
stable_warehouse_load,Warehouse-M,qmix_heuristic,default,obstacle_detection,103,0.0,0.0,0.0,0.0
stable_warehouse_load,Warehouse-M,qmix_heuristic,default,path_replanning,117,0.0,0.0,0.0,0.0
stable_warehouse_load,Warehouse-M,qmix_heuristic,default,perception,59,0.0,0.0,0.0,0.0
stable_warehouse_load,Warehouse-M,qmix_heuristic,default,telemetry_diagnostics,118,0.0,0.0,0.0,0.0
stable_warehouse_load,Warehouse-M,ample_amr,default,inventory_recognition,53,2.042810365310288e-14,3.8543591798307323e-16,2.042810365310288e-14,3.8543591798307323e-16
stable_warehouse_load,Warehouse-M,ample_amr,default,localization_slam,140,7.505107646466058e-14,5.360791176047184e-16,7.505107646466058e-14,5.360791176047184e-16
stable_warehouse_load,Warehouse-M,ample_amr,default,obstacle_detection,103,2.3092638912203256e-14,2.2420037778838113e-16,2.3092638912203256e-14,2.2420037778838113e-16
stable_warehouse_load,Warehouse-M,ample_amr,default,path_replanning,117,4.440892098500626e-14,3.795634272222757e-16,4.440892098500626e-14,3.795634272222757e-16
stable_warehouse_load,Warehouse-M,ample_amr,default,perception,59,1.021405182655144e-14,1.7311952248392272e-16,1.021405182655144e-14,1.7311952248392272e-16
stable_warehouse_load,Warehouse-M,ample_amr,default,telemetry_diagnostics,118,6.23945339839338e-14,5.287672371519813e-16,6.23945339839338e-14,5.287672371519813e-16
stable_warehouse_load,Warehouse-M,c_ample_amr,default,inventory_recognition,50,1.2434497875801753e-14,2.486899575160351e-16,1.2434497875801753e-14,2.486899575160351e-16
stable_warehouse_load,Warehouse-M,c_ample_amr,default,localization_slam,140,6.328271240363392e-14,4.520193743116708e-16,6.328271240363392e-14,4.520193743116708e-16
stable_warehouse_load,Warehouse-M,c_ample_amr,default,obstacle_detection,94,2.3092638912203256e-14,2.4566637140641763e-16,2.3092638912203256e-14,2.4566637140641763e-16
stable_warehouse_load,Warehouse-M,c_ample_amr,default,path_replanning,117,8.926193117986259e-14,7.629224887167742e-16,8.926193117986259e-14,7.629224887167742e-16
stable_warehouse_load,Warehouse-M,c_ample_amr,default,perception,58,9.769962616701378e-15,1.6844763132243754e-16,9.769962616701378e-15,1.6844763132243754e-16
stable_warehouse_load,Warehouse-M,c_ample_amr,default,telemetry_diagnostics,118,3.9968028886505635e-14,3.3871210920767486e-16,3.9968028886505635e-14,3.3871210920767486e-16
stable_warehouse_load,Warehouse-M,random_modes_heuristic,default,inventory_recognition,53,0.0,0.0,0.0,0.0
stable_warehouse_load,Warehouse-M,random_modes_heuristic,default,localization_slam,138,0.0,0.0,0.0,0.0
stable_warehouse_load,Warehouse-M,random_modes_heuristic,default,obstacle_detection,92,0.0,0.0,0.0,0.0
