scenario,scenario_size,method,mode_profile,social_welfare,completion_rate,drop_rate,p95_latency_ms,welfare_gain_vs_fixed_heuristic,completion_gain_vs_fixed_heuristic,drop_reduction_vs_fixed_heuristic,latency_p95_reduction_vs_fixed_heuristic
clustered_vs_global,Warehouse-L,ample_amr,default,436.09212385844273,0.7872340425531915,0.2127659574468085,69.99986185384387,40.289301544326065,-0.02127659574468077,-0.02127659574468091,-11.197281058582533
clustered_vs_global,Warehouse-L,c_ample_amr,default,428.7285890079009,0.7659574468085106,0.2340425531914893,52.23419460797348,32.925766693784226,-0.04255319148936165,-0.04255319148936171,6.568386187287857
clustered_vs_global,Warehouse-L,fixed_heuristic,default,395.80282231411667,0.8085106382978723,0.1914893617021276,58.802580795261335,0.0,0.0,0.0,0.0
clustered_vs_global,Warehouse-L,fixed_vcg,default,395.80282231411667,0.8085106382978723,0.1914893617021276,58.802580795261335,0.0,0.0,0.0,0.0
clustered_vs_global,Warehouse-L,qmix_heuristic,default,436.09212385844273,0.7872340425531915,0.2127659574468085,69.99986185384387,40.289301544326065,-0.02127659574468077,-0.02127659574468091,-11.197281058582533
edge_node_failures,Warehouse-M,ample_amr,default,164.6483599797519,0.6521739130434783,0.3478260869565217,25.481031237249017,7.342652580734921,0.0,0.0,7.299498867037247
edge_node_failures,Warehouse-M,c_ample_amr,default,164.50300723545328,0.6521739130434783,0.3478260869565217,44.022412638368195,7.197299836436315,0.0,0.0,-11.241882534081931
edge_node_failures,Warehouse-M,fixed_heuristic,default,157.30570739901697,0.6521739130434783,0.3478260869565217,32.780530104286264,0.0,0.0,0.0,0.0
edge_node_failures,Warehouse-M,fixed_vcg,default,157.30570739901697,0.6521739130434783,0.3478260869565217,32.780530104286264,0.0,0.0,0.0,0.0
edge_node_failures,Warehouse-M,qmix_heuristic,default,164.6483599797519,0.6521739130434783,0.3478260869565217,25.481031237249017,7.342652580734921,0.0,0.0,7.299498867037247
heterogeneous_edge_nodes,Warehouse-M+,ample_amr,default,208.2739672297437,0.7391304347826086,0.2608695652173913,122.69410161130588,18.091574200473474,0.0,0.0,20.449016935217628
heterogeneous_edge_nodes,Warehouse-M+,c_ample_amr,default,170.10164876382925,0.6521739130434783,0.3478260869565217,74.0520214909466,-20.080744265440984,-0.08695652173913038,-0.08695652173913038,69.09109705557691
heterogeneous_edge_nodes,Warehouse-M+,fixed_heuristic,default,190.18239302927023,0.7391304347826086,0.2608695652173913,143.1431185465235,0.0,0.0,0.0,0.0
