scenario,scenario_size,seed,mode_profile,ample_welfare,clustered_welfare,welfare_loss_vs_global,ample_overhead_ms,clustered_overhead_ms,relative_overhead_reduction_c_ample_vs_ample,cluster_count,avg_cluster_size,graph_cut
stable_warehouse_load,Warehouse-M,0,default,1035.981229576866,1051.9498824752484,0.0,0.6620874279178679,1.0956625104881823,-0.6548607695721108,0.8375,1.8875,0.0
stable_warehouse_load,Warehouse-M,1,default,1108.6218375041485,1073.4634584200355,35.158379084112994,0.5687984812539071,1.1219156440347433,-0.9724308010835373,0.8875,1.925,0.0
stable_warehouse_load,Warehouse-M,2,default,1142.9608420568336,1127.1137200577944,15.847121999039246,0.6320290267467499,1.4746938541065902,-1.333269188121467,0.8875,2.3,0.0
stable_warehouse_load,Warehouse-M,3,default,1434.771988576705,1381.6778163548374,53.094172221867666,0.5929172737523913,1.3478119566570967,-1.2731871988265897,0.95,2.3,0.023428293513481295
stable_warehouse_load,Warehouse-M,4,default,1210.1769491393266,1227.2682216128383,0.0,0.559248955687508,1.204555801814422,-1.1538811821894446,0.9625,2.0,0.07993016292378287
peak_warehouse_load,Warehouse-M,0,default,1671.577691631284,1632.793231710173,38.78445992111119,0.9388930474718412,2.3978383435557284,-1.5538993498912272,0.9222222222222223,2.7777777777777777,1.2378692259650703
peak_warehouse_load,Warehouse-M,1,default,1765.8133596711023,1773.8062747069414,0.0,1.019118529640966,2.571939785654346,-1.5236905333871584,0.9111111111111111,2.9722222222222223,0.42828839590369877
peak_warehouse_load,Warehouse-M,2,default,1729.2282644988625,1730.98570527528,0.0,1.0229940474447277,2.4347837393482528,-1.3800566048550778,0.9444444444444444,2.7111111111111112,1.298755920294076
peak_warehouse_load,Warehouse-M,3,default,2098.5393802112517,2056.5615608384533,41.97781937279842,0.9120842079735465,2.5856166819317474,-1.8348442603522623,0.9333333333333333,2.7222222222222223,0.48968052898838044
peak_warehouse_load,Warehouse-M,4,default,1830.232312109492,1732.3625143733937,97.86979773609846,0.9338693538059791,2.238187949276633,-1.3966820842282817,1.0555555555555556,2.3555555555555556,1.4070596459007476
heterogeneous_edge_nodes,Warehouse-M+,0,default,963.5317248732262,960.1083903344224,3.423334538803715,1.2403833563439548,2.4411765683908015,-0.968082331889876,0.7875,1.825,0.0
heterogeneous_edge_nodes,Warehouse-M+,1,default,1415.9125148096373,1430.5297600494318,0.0,1.3527817965950817,2.7918781037442386,-1.0638051981267982,0.8625,1.8125,0.0
heterogeneous_edge_nodes,Warehouse-M+,2,default,1107.5016880556952,1115.4637068090497,0.0,1.4051546808332205,2.935408422490582,-1.0890286760102172,0.8625,1.9875,0.08938170583656772
heterogeneous_edge_nodes,Warehouse-M+,3,default,1455.8542475274699,1458.3453198823104,0.0,1.571320794755593,3.093020850792527,-0.9684210004193466,0.8875,2.05,0.0
heterogeneous_edge_nodes,Warehouse-M+,4,default,1574.784788976576,1546.6392062589164,28.145582717659636,1.4581139897927642,2.7611504425294697,-0.8936451209290577,0.875,1.775,0.026343037604484087
network_degradation,Warehouse-M,0,default,838.5697175552177,827.0272198256972,11.542497729520505,0.6009666714817286,1.0878942906856537,-0.8102406378100278,0.8,1.7875,0.03076780543306215
network_degradation,Warehouse-M,1,default,858.7917586624119,849.5715000268132,9.220258635598725,0.49565526423975825,1.3674410991370678,-1.7588551918932298,0.8625,1.8125,0.0
network_degradation,Warehouse-M,2,default,787.4539935311786,777.6055456986397,9.848447832538909,0.5225473316386342,1.150735467672348,-1.2021650441957192,0.85,2.0125,0.0
network_degradation,Warehouse-M,3,default,1128.5637544755205,1160.4097749274986,0.0,0.5334598710760474,1.123470248421654,-1.1060070482068138,0.9125,1.98125,0.031592776372637965
network_degradation,Warehouse-M,4,default,982.2976690917335,1016.9359024075924,0.0,0.5439416621811688,0.9783787070773542,-0.7986831586941192,0.9,1.725,0.023664963317861897
edge_node_failures,Warehouse-M,0,default,926.5659807388897,927.1736990642517,0.0,0.4825390817131847,1.0716156219132245,-1.2207851395344171,0.7875,1.825,0.0
edge_node_failures,Warehouse-M,1,default,1100.6334322130604,1091.7668925709818,8.866539642078578,0.517518148990348,1.045628631254658,-1.0204675590501073,0.8625,1.8125,0.0
edge_node_failures,Warehouse-M,2,default,998.4367163483395,996.7847549968677,1.6519613514717548,0.5528562236577272,1.1654749745503068,-1.1080977742087448,0.85,2.0125,0.0
edge_node_failures,Warehouse-M,3,default,1272.9625763372178,1263.794162531165,9.16841380605274,0.569689052645117,1.1496754479594529,-1.0180753739630546,0.9125,1.98125,0.09623091247534829
edge_node_failures,Warehouse-M,4,default,1156.0466607758426,1129.8153489908395,26.231311785003072,0.5180515581741929,1.0533671593293548,-1.0333249513654854,0.9,1.725,0.04675350957403972
scalability_sweep,Warehouse-L,0,default,1642.2362845734522,1649.9972858191354,0.0,2.3566666447247067,5.863480471695463,-1.4880398272791797,1.0,3.025,0.4922265037103115
scalability_sweep,Warehouse-L,1,default,1267.5360889086394,1268.2261819876187,0.0,2.020772957863907,4.713274259120226,-1.3324115857639318,1.0166666666666666,2.7583333333333333,0.1592431473871068
scalability_sweep,Warehouse-L,2,default,1431.0956281277627,1411.0713220863822,20.02430604138044,2.133961790241301,5.436669336631894,-1.5476882301707633,1.0,2.875,0.37764563062005935
scalability_sweep,Warehouse-L,3,default,1374.9700612266479,1381.346731203798,0.0,2.3558709925661483,6.416060441794495,-1.7234345437590186,1.0333333333333334,3.3,0.5030287235917775
scalability_sweep,Warehouse-L,4,default,1011.4712853667263,1024.6074384721444,0.0,1.6034617864837248,4.098118795081973,-1.5557944876683654,0.95,2.5833333333333335,0.12366876968783498
