size_name,training_scenario,episode,reward,loss,epsilon
Warehouse-L,stable_warehouse_load,0.0,3009.2085769174196,292736118700.40814,0.9493333333333334
Warehouse-L,stable_warehouse_load,1.0,2376.5534584291645,3114639388262.4,0.8986666666666667
Warehouse-L,stable_warehouse_load,2.0,2908.0891987533882,3661684608409.6,0.848
Warehouse-L,stable_warehouse_load,3.0,2518.914797132113,4745934191616.0,0.7973333333333333
Warehouse-L,stable_warehouse_load,4.0,2624.0944962009758,9134385469849.6,0.7466666666666667
Warehouse-L,stable_warehouse_load,5.0,2601.605723997483,8624221372416.0,0.696
Warehouse-L,stable_warehouse_load,6.0,2687.3852080769684,11825568911360.0,0.6453333333333333
Warehouse-L,stable_warehouse_load,7.0,2282.4620530443026,14787042390835.2,0.5946666666666667
Warehouse-L,stable_warehouse_load,8.0,3364.695236657914,14734868453785.6,0.544
Warehouse-L,stable_warehouse_load,9.0,2869.9190560619522,16907880954265.6,0.4933333333333334
Warehouse-L,stable_warehouse_load,10.0,2670.4548266895963,17049548205260.8,0.44266666666666665
Warehouse-L,stable_warehouse_load,11.0,2910.689020976089,24115255101030.4,0.392
Warehouse-L,stable_warehouse_load,12.0,2564.840417656265,21520562315264.0,0.3413333333333334
Warehouse-L,stable_warehouse_load,13.0,3156.4248615517427,29873471532236.8,0.29066666666666663
Warehouse-L,stable_warehouse_load,14.0,2024.3789841319524,32972546175795.2,0.24
Warehouse-L,stable_warehouse_load,15.0,2941.4560248923417,31353912098816.0,0.18933333333333335
Warehouse-L,stable_warehouse_load,16.0,2610.3001297395635,25623595189862.4,0.13866666666666672
Warehouse-L,stable_warehouse_load,17.0,2820.4504019355054,44758133620736.0,0.08800000000000008
Warehouse-L,stable_warehouse_load,18.0,3306.4649863849227,30486636793036.8,0.050000000000000044
Warehouse-L,stable_warehouse_load,19.0,2950.361717182732,34774943419596.8,0.050000000000000044
Warehouse-L,stable_warehouse_load,20.0,2568.5127710246684,27186768065331.2,0.050000000000000044
Warehouse-L,stable_warehouse_load,21.0,2631.9491166665325,40873356066816.0,0.050000000000000044
Warehouse-L,stable_warehouse_load,22.0,2590.713369489385,54273308308275.2,0.050000000000000044
Warehouse-L,stable_warehouse_load,23.0,3061.361151631485,48338950406144.0,0.050000000000000044
Warehouse-M,stable_warehouse_load,0.0,1066.693584347798,154832811572.2449,0.9493333333333334
Warehouse-M,stable_warehouse_load,1.0,1137.5621194365983,881248137011.2,0.8986666666666667
Warehouse-M,stable_warehouse_load,2.0,1100.6550221933542,1933724856422.4,0.848
Warehouse-M,stable_warehouse_load,3.0,1654.0192640093355,2546445302579.2,0.7973333333333333
Warehouse-M,stable_warehouse_load,4.0,1223.7448829447826,4566354698240.0,0.7466666666666667
Warehouse-M,stable_warehouse_load,5.0,989.7163796956808,4884333110067.2,0.696
Warehouse-M,stable_warehouse_load,6.0,1309.5165047647215,6768084751974.4,0.6453333333333333
Warehouse-M,stable_warehouse_load,7.0,1090.4599384886324,5724195808460.8,0.5946666666666667
Warehouse-M,stable_warehouse_load,8.0,1334.9003897783111,6732117182464.0,0.544
Warehouse-M,stable_warehouse_load,9.0,1575.6778067466962,8018207019417.6,0.4933333333333334
Warehouse-M,stable_warehouse_load,10.0,1352.9609182980066,8717184435404.8,0.44266666666666665
Warehouse-M,stable_warehouse_load,11.0,1072.0889202351116,8700141830963.2,0.392
